236: Acc-tr:  99.98, Acc-val:  56.51, L-tr: 0.0040, L-val: 2.1850
237: Acc-tr:  99.98, Acc-val:  56.54, L-tr: 0.0041, L-val: 2.1724
238: Acc-tr:  99.98, Acc-val:  56.63, L-tr: 0.0044, L-val: 2.1675
239: Acc-tr:  99.98, Acc-val:  56.51, L-tr: 0.0041, L-val: 2.1750
240: Acc-tr:  99.98, Acc-val:  56.60, L-tr: 0.0042, L-val: 2.1672
241: Acc-tr:  99.98, Acc-val:  56.72, L-tr: 0.0041, L-val: 2.1746
242: Acc-tr:  99.98, Acc-val:  56.71, L-tr: 0.0041, L-val: 2.1749
243: Acc-tr:  99.98, Acc-val:  56.55, L-tr: 0.0041, L-val: 2.1699
244: Acc-tr:  99.98, Acc-val:  56.68, L-tr: 0.0042, L-val: 2.1734
245: Acc-tr:  99.98, Acc-val:  56.72, L-tr: 0.0042, L-val: 2.1682
246: Acc-tr:  99.98, Acc-val:  56.47, L-tr: 0.0041, L-val: 2.1833
247: Acc-tr:  99.98, Acc-val:  56.57, L-tr: 0.0042, L-val: 2.1665
248: Acc-tr:  99.98, Acc-val:  56.54, L-tr: 0.0041, L-val: 2.1695
249: Acc-tr:  99.98, Acc-val:  56.83, L-tr: 0.0042, L-val: 2.1660
250: Acc-tr:  99.98, Acc-val:  56.50, L-tr: 0.0042, L-val: 2.1739
251: Acc-tr:  99.98, Acc-val:  56.35, L-tr: 0.0040, L-val: 2.1835
252: Acc-tr:  99.98, Acc-val:  56.57, L-tr: 0.0041, L-val: 2.1771
253: Acc-tr:  99.98, Acc-val:  56.66, L-tr: 0.0041, L-val: 2.1692
254: Acc-tr:  99.98, Acc-val:  56.56, L-tr: 0.0042, L-val: 2.1731
255: Acc-tr:  99.98, Acc-val:  56.50, L-tr: 0.0041, L-val: 2.1809
256: Acc-tr:  99.98, Acc-val:  56.81, L-tr: 0.0041, L-val: 2.1715
257: Acc-tr:  99.98, Acc-val:  56.51, L-tr: 0.0042, L-val: 2.1723
